English,Afrikaans,Albanian,Amharic,Arabic,Armenian,Assamese,Aymara,Azerbaijani,Bambara,Basque,Belarusian,Bengali,Bhojpuri,Bosnian,Bulgarian,Catalan,Cebuano,Chinese (Simplified),Chinese (Traditional),Corsican,Croatian,Czech,Danish,Dhivehi,Dogri,Esperanto,Estonian,Ewe,Filipino (Tagalog),Finnish,French,Frisian,Galician,Georgian,Greek,Guarani,Gujarati,Haitian Creole,Hausa,Hawaiian,Hebrew,Hmong,Hungarian,Icelandic,Igbo,Ilocano,Irish,Javanese,Kannada,Kazakh,Khmer,Kinyarwanda,Konkani,Korean,Krio,Kurdish,Kurdish (Sorani),Kyrgyz,Lao,Latin,Latvian,Lingala,Lithuanian,Luganda,Luxembourgish,Macedonian,Maithili,Malagasy,Malay,Malayalam,Maltese,Maori,Marathi,Meiteilon (Manipuri),Mizo,Mongolian,Myanmar (Burmese),Nepali,Norwegian,Nyanja (Chichewa),Odia (Oriya),Oromo,Pashto,Persian,Portuguese,Punjabi,Quechua,Romanian,Russian,Samoan,Sanskrit,Scots Gaelic,Sepedi,Serbian,Sesotho,Shona,Sindhi,Sinhala (Sinhalese),Slovak,Slovenian,Somali,Sundanese,Swahili,Swedish,Tagalog (Filipino),Tajik,Tamil,Tatar,Telugu,Tigrinya,Tsonga,Turkish,Turkmen,Twi (Akan),Ukrainian,Urdu,Uyghur,Uzbek,Vietnamese,Welsh,Xhosa,Yiddish,Yoruba,Zulu
twenty-nine,nege-en-twintig,njezet e nente,haya zet'eny,ts`h w`shrwn,k'saniny,unbims,pa tunka llatunkani,iyirmi doqquz,mugan ni kononton,hogeita bederatzi,dvatstsats' dzevyats',unbims,untis ke ba,dvadeset devet,dvadeset i devet,vint-i-nou,kawhaan ug siyam,ErShiJiu,ErShiJiu,vinti nove,dvadeset i devet,dvacet devet,niogtyve,nuvadhiha eve,unis,dudek nau,kakskummend uheksa,blaeve vo enyi,dalawampu't siyam,kaksikymmentayhdeksan,vingt-neuf,njoggenentweintich,vinte e nove,otsdatskhra,eikosi ennea,veintinueve,ogntris,vennef,ashirin da tara,iwakaluakumaiwa,'srym vts',nees nkaum cuaj,huszonkilenc,tuttugu og niu,iri abuo na itoolu,duapulo ket siam,fiche a naoi,sanga likur,ippttombttu,zhiyrma toghyz,mphaibraambuon,makumyabiri n'icyenda,ekonis vrsam jalim,SeuMulAHob,twenti nayn,bist u neh,byst w no,zhyyyrma toguz,xavekoa,viginti novem,divdesmit devini,ntuku mibale na libwa,dvidesimt devyneri,abiri mu mwenda,nenganzwanzeg,dvaeset i devet,untis,sivy amby roa-polo,dua puluh sembilan,irupttompt,disgha u ghoxrin,rua tekau ma iwa,ekontis,tranipal.,sawmhnih leh pakua a ni,khorin es,nhcchykiu,untis,tjueni,makumi awiri mphambu zisanu ndi zinayi,antiris,digdamii sagal,nhh wysht,byst w nh,vinte e nove,un'ti,iskay chunka isqunniyuq,douazeci si noua,dvadtsat' devyat',luasefuluiva,nvvimstih,fichead 's a naoi,masomepedi-senyane,dvadeset devet,mashome a mabeli a metso e robong,makumi maviri nepfumbamwe,wyhh,visi nvy,dvadsatdevat,devetindvajset,sagaal iyo labaatan,dua puluh salapan,ishirini na tisa,tjugonio,dalawampu't siyam,bistu nuh,iruptti onptu,egerme tugyz,irvai tommidi,`sran tsh`aten,makume mbirhi nhungu,yirmi dokuz,yigrimi dokuz,aduonu nkron,dvadtsyat' dev'yat',ntys,yagarme twqquz,yigirma to'qqiz,hai muoi chin,naw ar hugain,amashumi amabini anesithoba,neyn 'vn tsv'ntsyk,mokandinlogbon,amashumi amabili nesishiyagalolunye
thirty,dertig,tridhjete,selasa,thlthwn,eresown,tris,kimsa tunka,otuz,minnogo,hogeita hamar,trytstsats',tris,tis,trideset,trideset,trenta,katloan,SanShi,SanShi,trenta,trideset,tricet,tredive,thirees,trih,tridek,kolmkummend,blaeto,tatlumpu,kolmekymmenta,trente,tritich,trinta,otsdaati,trianta,mbohapypa,tris,trant,talatin,kanakolu,shelvoshiym,peb caug,harminc,thrjatiu,iri ato,trenta,triocha,telung puluh,muvttu,otyz,samseb,mirongo itatu,tis,SeoLeun,tati,sih,sy,otuz,samsib,triginta,trisdesmit,ntuku misato,trisdesimt,asatu,dresseg,trieset,tis,Amby Telopolo,tiga puluh,muppt,tletin,toru tekau,tis,kunthra,sawmthum,guchin,sumchy,tis,tretti,makumi atatu,tiris,soddoma,dyrsh,sy,trinta,tih,kimsa chunka,treizeci,tridtsat',tolu sefulu,trimst,trithead,masometharo,trideset,mashome a mararo,makumi matatu,tyhh,tis,tridsat,trideset,soddon,tilu puluh,thelathini,trettio,tatlumpu,si,mupptu,utyz,muppai,selasa,makumenharhu,otuz,otuz,aduasa,tridtsyat',tys,i'wttuz,o'ttiz,ba muoi,deg ar hugain,Amashumi amathathu,dreyasyk,ogbon,amashumi amathathu
thirty-one,een-en-dertig,tridhjete e nje,selasa 'and,thlthwn h,eresownmek,ektris,kimsa tunka mayani,otuz bir,bi saba ni kelen,hogeita hamaika,trytstsats' adzin,ektris,ektis ke ba,trideset jedan,trideset i edno,trenta-un,katloan ug usa,SanShiYie,SanShiYi,trentunu,trideset jedan,tricet jedna,enogtredive,thirees eke,iktis,tridek unu,kolmkummend uks,blaeto vo deka,tatlumpu't isa,kolmekymmentayksi,trente et un e,ienentritich,trinta e un,otsdatertmet'i,trianta ena,treinta y uno,ektris,trant-yon,talatin da daya,kanakolukumakahi,slvsym v'ht,peb caug ib,harmincegy,thrjatiu og einn,iri ato na otu,tallopulo ket maysa,triocha haon,telung puluh siji,muvttomdu,otyz bir,samsebmuoy.,mirongo itatu na rimwe,ektis vrsam jalim,SeoLeunE e,tati wan en wan,si u yek,sy w yek,otuz bir,samsibhnung,triginta et unum,trisdesmit viens,ntuku misato na moko,trisdesimt vienas,amakumi asatu mu gumu,eendresseg,trieset i eden,ektis,iraika amby telopolo,tiga puluh satu,muppttiyonn,wiehed u tletin,toru tekau ma tahi,ektis,tranipal sure.,sawmthum leh pakhat a ni,guchin neg,sumchytc,ektis,trettien,makumi atatu ndi chimodzi,ektiris,soddomii tokko,yw dyrsh,sy w yk,trinta e em e,31,kimsa chunka hukniyuq,treizeci si unu,tridtsat' na e,tolu sefulu tasi,ektrimst,trithead 's a h-aon,masometharo-tee,trideset jedan,mashome a mararo le motso o mong,makumi matatu nerimwe,yktyhh,tisekk,tridsatjeden,enaintrideset,kow iyo soddon,tilu puluh hiji,thelathini na moja,trettioen,tatlumpu't isa,siyu yak,muppttonru,utyz ber,muppai okti,selasan haden zhonu,makume nharhu n'we,otuz-on e,otuz bir,aduasa biako,tridtsyat' odin,ktys,i'wttuz bar,o'ttiz bir,ba muoi e,tri deg un,amashumi amathathu ananye,'yyn 'vn dryysyk,mokanlelogbon,amashumi amathathu nanye
thirty-two,twee en dertig,tridhjete e dy,selasa hulet,thnn wthlthwn,eresownerkow,btris,kimsa tunka payani,otuz iki,bi saba ni fila,hogeita hamabi,trytstsats' dva,btris,bttis ke ba,trideset dva,trideset i dve,trenta-dos,katloan ug duha,SanShiEr,SanShiEr,trentadui,trideset i dvije,tricet dva,toogtredive,thirees dhe meehunneve,bttis,tridek du,kolmkummend kaks,blaeto vo eve,tatlumpu't dalawa,kolmekymmentakaksi,trente-deux,twaentritich,trinta e dous,otsdatormet'i,trianta dyo,treinta y dos,btris,trant-de,talatin da biyu,kanakolukumamalua,slvsym vstyym,peb caug ob,harmincketto,thrjatiu og tveir,iri ato na abuo,tallopulo ket dua,triocha do,telung puluh loro,muvtterdu,otyz eki,samsebpeir,mirongo itatu na kabiri,bttis vrsam jalim,SamSibI,tati tu,si u du,sy w dww kes,otuz eki,samsibsng,triginta duo,trisdesmit divi,ntuku misato na mibale,trisdesimt du,amakumi asatu mu bbiri,zweeandresseg,trieset i dva,bttis,roa amby telopolo,tiga puluh dua,muppttirnt,tnejn u tletin,toru tekau ma rua,bttis,tranipal.,sawmthum leh pahnih,guchin khoer,sumchynhc,bttis,trettito,makumi atatu ndi ziwiri,btis,soddomii lama,dwh dersh,sy w dw,trinta e dois,btis,kimsa chunka iskayniyuq,treizeci si doi,tridtsat' dva,tolu sefulu lua,dvatrimst,trithead 's a dha,masometharo-pedi,trideset dva,mashome a mararo le metso e mmedi,makumi matatu nembiri,btyhh,tis dek,tridsatdva,dvaintrideset,soddon iyo laba,tilu puluh dua,thelathini na mbili,trettiotva,tatlumpu't dalawa,siyu du,muppttirntu,utyz ike,muppai remdu,selasan klten,makume nharhu mbirhi,otuz iki,otuz iki,aduasa mmienu,tridtsyat' dva,btys,i'wttuz i'akka,o'ttiz ikki,ba muoi hai,tri deg dau,amashumi amathathu nambini,tsvey 'vn dreysyk,mejilelogbon,amashumi amathathu nambili
thirty-three,drie-en-dertig,tridhjete e tre,selasa sost,thlthh wthlthwn,eresownerek',tetris,kimsa tunka kimsani,otuz uc,bi saba ni saba,hogeita hamahiru,trytstsats' try,tetris,tetis ke ba,trideset tri,trideset i tri,trenta-tres,katloan ug tulo,SanShiSan,SanShiSan,trenta tre,trideset i tri,tricet tri,treogtredive,thirees thin meehunneve,tetis,tridek tri,kolmkummend kolm,blaeto vo eto,tatlumpu't tatlo,kolmekymmentakolme,trente-trois,trijeentritich,trinta e tres,otsdatsamet'i,trianta tria,treinta y tres,tetris,trant-twa,talatin da uku,kanakolukumakolu,slvsym vslvs,peb caug peb,harmincharom,thrjatiu og thrir,iri ato na ato,tallopulo ket tallo,triocha a tri,telung puluh telu,muvtmuru,otyz ush,samsebbei,mirongo itatu na gatatu,tetis vrsam jalim,SamSibSam,tati tri tri pipul den,si u se,sy w se,otuz uch,samsibsam,triginta tres,trisdesmit tris,ntuku misato na misato,trisdesimt trys,amakumi asatu mu ssatu,dressegdresseg,trieset i tri,tetis,Telo amby telo-polo,tiga puluh tiga,muppttimunn,tlieta u tletin,toru tekau ma toru,tehtis,tranipal sure.,sawmthum leh pathum a ni,guchin gurav,sumchysum,tettis,trettitre,makumi atatu ndi atatu,tiris,soddomii sadii,dre dersh,sy w sh,trinta e tres,tih,kimsa chunka kimsayuq,treizeci si trei,tridtsat' tri,tolusefulu-tolu,trystrimst,trithead 's a tri,masometharo-tharo,trideset tri,mashome a mararo le metso e meraro,makumi matatu nenhatu,tytyhh,tis tunk,tridsattri,triintrideset,soddon iyo saddex,tilu puluh tilu,thelathini na tatu,trettiotre,tatlumpu't tatlo,siyu se,muppttu munru,utyz och,muppai mudu,selasan selesten,makume nharhu nharhu,otuz uc,otuz uc,aduasa abiesa,tridtsyat' tri,tyntys,i'wttuz i'uch,o'ttiz uch,ba muoi ba,tri deg tri,amashumi amathathu anantathu,dreya 'vn dreyasyk,metalelogbon,amashumi amathathu nantathu
thirty-four,vier en dertig,tridhjete e kater,selasa 'arat,'rb`h wthlthwn,eresownch'ors,cautris,kimsa tunka pusini,otuz dord,mogo bi saba ni naani,hogeita hamalau,trytstsats' chatyry,cautris,caumtis ke ba,trideset cetiri,trideset i chetiri,trenta-quatre,katloan ug upat,SanShiSi,SanShiSi,trentaquattru,trideset i cetiri,tricet ctyri,fireogtredive,thirees hatharu meehunneve,caumtis,tridek kvar,kolmkummend neli,blaeto vo ene,tatlumpu't apat,kolmekymmentanelja,trente-quatre,fjouwerentritich,trinta e catro,otsdatotkhmet'i,trianta tessera,treinta y cuatro,cotris,trant-kat,talatin da hudu,kanakolukumaha,slvsym v'rv',peb caug plaub,harmincnegy,thrjatiu og fjogur,iri ato na ano,tallopulo ket uppat,triocha ceathair,telung puluh papat,muvtnalku,otyz tort,samsebbuon,mirongo itatu na kane,cautis vrsam jalim,SamSibSa,tati en 4 pipul den,si u car,sy w chwr,otuz tort,samsibsi,triginta quattuor,trisdesmit cetri,ntuku misato na minei,trisdesimt keturi,amakumi asatu mu bana,veierandresseg,trieset i chetiri,caumtis,Efatra amby telo-polo,tiga puluh empat,mupptti nal,erbgha u tletin,toru tekau ma wha,cautis,tranipal sure.,sawmthum leh pali a ni,guchin dorov,sumchyle,cautis,trettifire,makumi atatu ndi anayi,cbis,soddomii afur,tslwr dersh,sy w chhr,trinta e quatro,caumti,kimsa chunka tawayuq,treizeci si patru,tridtsat' chetyre,tolusefulufa,ctustrimst,trithead 's a ceithir,masometharo-nne,trideset chetiri,mashome a mararo le metso e mene,makumi matatu nemana,chwwyhh,tis htr,tridsatstyri,stiriintrideset,afar iyo soddon,tilu puluh opat,thelathini na nne,trettiofyra,tatlumpu't apat,siyu chor,muppttu nanku,utyz durt,muppai nalugu,selasan 'arba`ten 'yu.,makume nharhu mune,otuz dort,otuz dort,aduasa anan,tridtsyat' chotiri,chwntys,i'wttuz tot,o'ttiz to'rt,ba muoi bon,tri deg pedwar,amashumi amathathu anesine,fyr 'vn dryysyk,merinlelogbon,amashumi amathathu nane
thirty-five,vyf en dertig,tridhjete e pese,selasa 'amst,khmsh wthlthwn,eresownhing,pmy'tris,kimsa tunka phisqhani,otuz bes,bi saba ni duuru,hogeita hamabost,trytstsats' pyats',pmy'tris,paimtis ke ba,trideset pet,trideset i pet,trenta-cinc,katloan ug lima,SanShiWu,SanShiWu,trentacinque,trideset pet,tricet pet,femogtredive,thirees fas meehunneve,paimtis,tridek kvin,kolmkummend viis,blaeto vo ato,tatlumpu't lima,kolmekymmentaviisi,trente-cinq,fiifentritich,trinta e cinco,otsdatkhutmet'i,trianta pente,treinta y cinco,pamtris,trant-senk,talatin da biyar,kanakolukumamalima,slvsym vhms,peb caug tsib,harmincot,thrjatiu og fimm,iri ato na ise,tallopulo ket lima,triocha cuig,telung puluh lima,muvttaidu,otyz bes,samsebbraam,mirongo itatu na gatanu,pstis vrsam jalim,SamSibDaSeos,tati fayv,si u penc,sy w penj,otuz besh,samsibha,triginta quinque,trisdesmit pieci,ntuku misato na mitano,trisdesimt penkeri,amakumi asatu mu ttaano,fennefandresseg,trieset i pet,paimtis,dimy amby telopolo,tiga puluh lima,muppttnc,hamsa u tletin,toru tekau ma rima,pstis,tranipal sure.,sawmthum leh panga a ni,guchin tav,sumchyna,paimtis,trettifem,makumi atatu ndi asanu,pcis,soddomii shan,pndzh dersh,sy w pnj,trinta e cinco,paimti,kimsa chunka pichqayuq,treizeci si cinci,tridtsat' pyat',tolusefulu-lima,pnctrimst,trithead 's a coig,masometharo-hlano,trideset pet,mashome a mararo le metso e mehlano,makumi matatu neshanu,pnjytlyhh,tisphyi,tridsatpat,petintrideset,soddon iyo shan,tilu puluh lima,thelathini na tano,trettiofem,tatlumpu't lima,siyu panj,muppttaintu,utyz bish,muppai aidu,selasan hamushten `amet,makume nharhu ntlhanu,otuz bes,otuz bas,aduasa anum,tridtsyat' p'yat',pyntys,i'wttuz besh,o'ttiz besh,ba muoi lam,tri deg pump,amashumi amathathu anesihlanu,fynf 'vn dryysyk,marundinlogoji,amashumi amathathu nanhlanu
thirty-six,ses en dertig,tridhjete e gjashte,selasa sdst,sth wthlthwn,eresownvets',chy'tris,kimsa tunka suxtani,otuz alti,bi saba ni wooro,hogeita hamasei,trytstsats' shests',chtris,chttis ke ba,trideset sest,trideset i shest,trenta-sis,katloan ug unom,SanShiLiu,SanShiLiu,trentasei,trideset i sest,tricet sest,seksogtredive,thirees ha eve,chttis,tridek ses,kolmkummend kuus,blaeto vo ade,tatlumpu't anim,kolmekymmentakuusi,trente-six,seisentritich,trinta e seis,otsdatekvsmet'i,trianta exi,treinta y seis,chtris,trant-sis,talatin da shida,kanakolukumamaono,slvsym vss,peb caug rau,harminchat,thrjatiu og sex,iri ato na isii,tallopulo ket innem,triocha se,telung puluh enem,muvttaru,otyz alty,samsebbraammuoy.,mirongo itatu na gatandatu,chttis vrsam jalim,SamSibYug,tati siks,sih u ses,sy w shesh kes,otuz alty,samsibhok,triginta sex,trisdesmit sesi,ntuku misato na motoba,trisdesimt sesi,amakumi asatu mu mukaaga,sechsandresseg,trieset i shest,chttis,Enina amby telo-polo,tiga puluh enam,muppttiyar,sitta u tletin,toru tekau ma ono,chttis,tranipal sure.,sawmthum leh paruk a ni,guchin zurgaa,sumchykhreak,chttis,trettiseks,makumi atatu ndi zisanu ndi chimodzi,sathie,soddomii ja'a,shpzh dersh,sy w shsh,trinta e seis,36,kimsa chunka suqtayuq,treizeci si sase,tridtsat' shest',tolu sefulu ono,sttrimst,trithead 's a sia,masometharo-tshela,trideset shest,mashome a mararo le metso e tsheletseng,makumi matatu nenhanhatu,chtyhh,tishy,tridsatsest,sestintrideset,soddon iyo lix,tilu puluh genep,thelathini na sita,trettiosex,tatlumpu't anim,siyu shash,muppttaru,utyz alty,muppai aru,selasan shdushten,makume nharhu nhungu,otuz alti,otuz alty,aduasa nsia,tridtsyat' shist',chhtys,i'wttuz i'lte,o'ttiz olti,ba muoi sau,tri deg chwech,amashumi amathathu anesithandathu,z'ks 'vn dryysyk,merindinlogoji,amashumi amathathu nesithupha
thirty-seven,sewe en dertig,tridhjete e shtate,selasa sebat,sb`h wthlthwn,eresownyot',sattris,kimsa tunka paqallquni,otuz yeddi,bi saba ni wolonwula,hogeita hamazazpi,trytstsats' sem,samitris,sttis ke ba,trideset sedam,trideset i sedem,trenta-set,katloan ug pito,SanShiQi,SanShiQi,trentasette,trideset i sedam,tricet sedm,syvogtredive,thirees hath meehunneve,sttis,tridek sep,kolmkummend seitse,blaeto vo adre,tatlumpu't pito,kolmekymmentaseitseman,trente-sept,sanentritich,trinta e sete,otsdachvidmet'i,trianta epta,treinta y siete,sadtris,trant-set,talatin da bakwai,kanakolukumamahiku,slvsym vsv',peb caug xya,harminchet,thrjatiu og sjo,iri ato na asaa,tallopulo ket pito,triocha a seacht,telung puluh pitu,muvttelu,otyz zheti,samsebbraampeir,mirongo itatu na karindwi,sttis vrsam jalim,SamSibIl,tati sevin,seuheft,sy w hewt kes,otuz zheti,samsibechad,triginta septem,trisdesmit septini,ntuku misato na nsambo,trisdesimt septyni,amakumi asatu mu musanvu,siwen an dresseg,trieset i sedum,sttis,fito amby telopolo,tiga puluh tujuh,muppttiyel,sebgha u tletin,toru tekau ma whitu,sdtis,tranipal sure.,sawmthum leh pasarih a ni,guchin doloo,sumchykhunc,saimtis,trettisyv,makumi atatu ndi zisanu ndi ziwiri,stis,soddomii torba,wh dersh,sy w hft,trinta e sete,paimti,kimsa chunka qanchisniyuq,treizeci si sapte,tridtsat' sem',tolu sefulu fitu,spttrimst,trithead 's a seachd,masometharo-supa,trideset sedam,mashome a mararo a metso e supileng,makumi matatu nenomwe,sttyhh,tis htyi,tridsatsedem,sedemintrideset,soddon iyo toddoba,tilu puluh tujuh,thelathini na saba,trettiosju,tatlumpu't pito,siyu haft,mupptti elu,utyz jide,muppai edu,selasan shew`aten,makume nharhu nkombo,otuz yedi,otuz yedi,aduasa nson,tridtsyat' sim,syntys,i'wttuz yette,o'ttiz yetti,ba muoi bay,tri deg saith,amashumi amathathu anesixhenxe,zyvn 'vn dryysyk,metadinlogoji,amashumi amathathu nesikhombisa
thirty-eight,agt en dertig,tridhjete e tete,selasa smnt,thmnyh wthlthwn,eresownowt',athtris,kimsa tunka llatunkani,otuz sekkiz,mogo bi saba ni seegin,hogeita hamazortzi,trytstsats' vosem,attris,ad'tis ke ba,trideset osam,trideset i osem,trenta-vuit,katloan ug walo,SanShiBa,SanShiBa,trentottu,trideset i osam,tricet osm,otteogtredive,thirees ashe,ad'tis,tridek ok,kolmkummend kaheksa,blaeto vo enyi,tatlumpu't walo,kolmekymmentakahdeksan,trente-huit,achtentritich,trinta e oito,otsdatvramet'i,trianta okto,treinta y ocho,adtris,trant-uit,talatin da takwas,kanakolukumawalu,slvsym vsmvnh,peb caug yim,harmincnyolc,thrjatiu og atta,iri ato na asato,tallopulo ket walo,triocha a hocht,telung puluh wolu,muvttemtu,otyz segiz,samsebbraambei,mirongo itatu n'umunani,aththatis vrsam jalim,SamSibPal,tati en et,si u hest,sy w hesht kes,otuz segiz,samsibepd,triginta octo,trisdesmit astoni,ntuku misato na mwambe,trisdesimt astuoni,amakumi asatu mu munaana,aachtdresseg,trieset i osum,ad'tis,Valo amby telo-polo,tiga puluh lapan,muppttiyett,tmienja u tletin,toru tekau ma waru,adtis,tranipal sure.,sawmthum leh pariat a ni,guchin naym,sumchyrhc,ad'tis,trettiatte,makumi atatu ndi zisanu ndi zitatu,atheis,soddomii saddeet,th dersh,sy w hsht,trinta e oito,ath'ti,kimsa chunka pusaqniyuq,treizeci si opt,tridtsat' vosem',tolu sefulu valu,asttrimst,trithead 's a h-ochd,masometharo-seswai,trideset osam,mashome a mararo le metso e robedi,makumi matatu nesere,thytlyhh,tis atyi,tridsatosem,osemintrideset,soddon iyo siddeed,tilu puluh dalapan,thelathini na nane,trettioatta,tatlumpu't walo,siyu hasht,muppttettu,utyz sigez,muppai enimidi,selasan shemonten `amet,makume nharhu nhungu,otuz sekiz,otuz sekiz,aduasa awotwe,tridtsyat' visim,rtys,i'wttuz sekkaz,o'ttiz sakkiz,ba muoi tam,tri deg wyth,amashumi amathathu anesibhozo,'akht 'vn dreyasyk,mejidinlogoji,amashumi amathathu nesishiyagalombili
thirty-nine,nege en dertig,tridhjete e nente,selasa zet'eny,ts`h wthlthwn,eresowniny,untris,kimsa tunka llatunkani,otuz doqquz,mogo bi saba ni kononton,hogeita hemeretzi,trytstsats' dzevyats',untris,untis ke ba,trideset devet,trideset i devet,trenta-nou,katloan ug siyam,SanShiJiu,SanShiJiu,trentanove,trideset i devet,tricet devet,niogtredive,thirees nuva eve,untis,tridek nau,kolmkummend uheksa,blaeto vo enyi,tatlumpu't siyam,kolmekymmentayhdeksan,trente-neuf,njoggenentritich,trinta e nove,otsdatskhramet'i,trianta ennea,treinta y nueve,ogntris,trantnef,talatin da tara,kanakolukumaiwa,slvsym vts',peb caug cuaj,harminckilenc,thrjatiu og niu,iri ato na itoolu,tallopulo ket siam,triocha a naoi,telung puluh sanga,muvttombttu,otyz toghyz,samsebbraambuon,mirongo itatu n'icyenda,untis vrsam jalim,SamSibGu,tati nayn,si u neh,sy w no,otuz toguz,samsibekoa,triginta novem,trisdesmit devini,ntuku misato na libwa,trisdesimt devyni,amakumi asatu mu mwenda,nengdresseg,trieset i devet,untis,Sivy amby telo-polo,tiga puluh sembilan,mupptti ompt,disgha u tletin,toru tekau ma iwa,ekontis,tranipal.,sawmthum leh pakua a ni,guchin eson,sumchykiu,unttis,trettini,makumi atatu mphambu zisanu ndi zinayi,antiris,soddomii sagal,nhh dersh,sy w nh,trinta e nove,un'ti,kimsa chunka isqunniyuq,treizeci si noua,tridtsat' devyat',tolu sefulu iva,nvtrimst,trithead 's a naoi,masometharo-senyane,trideset devet,mashome a mararo le metso e robong,makumi matatu namapfumbamwe,wnwyhh,tis nvy,tridsatdevat,devetintrideset,soddon iyo sagaal,tilu puluh salapan,thelathini na tisa,trettionio,tatlumpu't siyam,siyu nuh,muppttonptu,utyz tugyz,muppai tommidi,selasan tsh`aten,makume nharhu nhungu,otuz dokuz,otuz dokuz,aduasa nkron,tridtsyat' dev'yat',ntys,i'wttuz twqquz,o'ttiz to'qqiz,ba muoi chin,tri deg naw,amashumi amathathu anesithoba,nyyn 'vn dryysyk,mokandinlogoji,amashumi amathathu nesishiyagalolunye
forty,veertig,dyzet,'arba,'rb`wn,k'arrasown,cllis,pusi tunka,qirx,binaani,berrogei,sorak,cllis,calis,cetrdeset,chetirideset,quaranta,kap-atan,SiShi,SiShi,quaranta,cetrdeset,ctyricet,fyrre,saalhees,cali,kvardek,nelikummend,blaene,apatnapu,neljakymmenta,quarante,fjirtich,corenta,ormotsi,saranta,irundypa,calis,karant,arba'in,kanaha,'arva'iym,plaub caug,negyven,fjorutiu,iri ano,uppat a pulo,daichead,patang puluh,nlvttu,qyryq,saeseb,mirongo ine,calis,SaSib,foti,cel,chl,kyrk,sisib,quadraginta,cetrdesmit,ntuku minei,keturiasdesimt,amakumi ana,veierzeg,chetirieset,calis,EFAPOLO,empat puluh,nalpt,erbghin,wha tekau,calis,niphu,sawmli,dochin,lechy,calis,forti,makumi anayi,calis,afurtama,tslwysht,chhl,quarenta,cali,tawa chunka,patruzeci,sorok,fasefulu,ctvarimst,da fhichead,masomenne,chetrdeset,mashome a mane,makumi mana,chlyhh,htlihk,styridsat,stirideset,afartan,opat puluh,arobaini,fyrtio,apatnapu,chil,narptu,kyryk,nlbhai,'arb`a,makumemune,kirk,kyrk,aduanan,sorok,chlys,qaraq,qirq,bon muoi,deugain,amashumi amane,f'rtsyk,ogoji,amashumi amane
forty-one,een-en-veertig,dyzet e nje,'arba 'and,whd w'rb`wn,k'arrasownmek,ekcllisjn,pusi tunka mayani,qirx bir,binaani ni kelen,berrogeita bat,sorak adzin,ekcllis,ektalis ke ba,cetrdeset jedan,chetirideset i edno,quaranta-un,kap-atan ug usa,SiShiYi,SiShiYi,quaranta unu,cetrdeset jedan,ctyricet jedna,enogfyrre,saalhees eke,iktalis,kvardek unu,nelikummend uks,blaene vo deka,apatnapu't isa,neljakymmentayksi,quarante et un,ienenfjirtich,corenta e un,ormotsdaerti,saranta ena,cuarenta y uno,ektalis,karannde youn,arba'in da daya,kanahakumakahi,'rv'ym v'ht,plaub caug ib,negyvenegy,fjorutiu og einn,iri ano na otu,uppat a pulo ket maysa,daichead a haon,patang puluh siji,nlvttomdu,qyryq bir,saesebmuoy.,mirongo ine na rimwe,ekcalis vrsam jalim,SaSibIl,foti wan,cil u yek,chl w yek,kyrk bir,sisibhnung,quadraginta unus,cetrdesmit viens,ntuku minei na moko,keturiasdesimt vienas,amakumi ana mu gumu,veierzeg-eent,chetirieset i eden,ektalis,iraika amby efapolo,empat puluh satu,nalpttiyonn,wiehed u erbghin,wha tekau ma tahi,ekecalis,41 suba.,sawmli leh pakhat,dochin neg,lechytc,ektalis,fortien,makumi anayi ndi chimodzi,ekcalis,afurtamii tokko,yw tslwysht,chhl w yk,quarenta e um,41,tawa chunka hukniyuq,patruzeci si unu,sorok odin,fasefulutasi,ekctvarimst,ceathrad 's a h-aon,masomenne-tee,chetrdeset jedan,mashome a mane a motso o mong,makumi mana nerimwe,chlyhh hk,htlis ek,styridsatjeden,enainstirideset,kow iyo afartan,opat puluh hiji,arobaini na moja,fyrtioen,apatnapu't isa,chilu yak,narptti onru,kyryk ber,nlbhai okti,'arb`an haden 'yu.,makume mune n'we,kirk bir,kyrk bir,aduanan biako,sorok odin,ktlys,qaraq bar,qirq bir,bon muoi mot,pedwar deg un,amashumi amane ananye,'yyn 'vn f'rtsyk,mokanlelogoji,amashumi amane nanye
